Ressort,Eingang Erstanträge,Erledigungen und Bescheide,Informationszugang gewährt,Informationszugang teilweise gewährt,Informationszugang abgelehnt,sonstige Erledigung,Gebühr erhoben,Höhe der Gebühr (unter 50 €),Höhe der Gebühr bis 50 - 100 €,Höhe der Gebühr bis > 100 €,Eingang Widersprüche,Erledigungen und Widerspruchsbescheide,Abhilfe,Teilweise Abhilfe,Zurückweisung,sonstige Erledigung,Widerspruchsgebühren erhoben,Eingang Klagen,Klageerledigungen in 2022,Stattgabe,Teilweise Stattgabe,Abweisung,sonstige Erledigung
BMWK Gesamt,1615,1552,568,88,170,726,25,6,10,9,8,5,1,0,4,0,5,14,12,0,0,9,3
BMEL,94,113,28,27,26,32,5,0,0,5,5,4,0,1,3,0,4,1,1,1,0,0,0
BMEL GB ,57,63,30,7,6,20,13,8,2,3,3,2,0,0,2,0,0,0,0,0,0,0,0
BMEL Gesamt,151,176,58,34,32,52,18,8,2,8,8,6,0,1,5,0,4,1,1,1,0,0,0
BMVg,333,306,69,78,20,139,0,0,0,0,7,6,0,0,6,0,6,7,1,0,0,1,0
BMVg GB,49,46,28,1,8,9,1,0,0,1,2,2,0,0,1,1,0,1,1,0,1,0,0
BMVg Gesamt,382,352,97,79,28,148,1,0,0,1,9,8,0,0,7,1,6,8,2,0,1,1,0
BMFSFJ,148,143,26,14,59,44,1,0,0,1,7,5,0,0,2,3,0,1,1,0,0,0,1
BMFSFJ GB,166,137,132,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMFSFJ Gesamt,314,280,158,14,60,48,1,0,0,1,7,5,0,0,2,3,0,1,1,0,0,0,1
BMG,500,660,199,14,28,419,21,5,4,12,6,4,0,0,2,2,4,1,2,0,0,1,1
BMG GB,544,584,147,44,65,328,26,12,3,11,14,7,0,1,5,1,5,4,1,0,0,0,1
BMG Gesamt,1044,1244,346,58,93,747,47,17,7,23,20,11,0,1,7,3,9,5,3,0,0,1,2
BMDV,413,354,140,32,42,140,3,0,0,3,21,6,2,1,3,0,3,2,2,1,0,0,1
BMDV GB,324,289,134,25,49,81,22,4,9,9,18,13,2,1,10,0,2,4,1,0,1,0,0
BMDV Gesamt,737,643,274,57,91,221,25,4,9,12,39,19,4,2,13,0,5,6,3,1,1,0,1
BMUV,34,31,25,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMUV GB,101,93,64,9,4,16,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
BMUV Gesamt,135,124,89,13,4,18,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
BMBF,160,163,65,18,16,64,9,1,1,7,2,1,0,1,0,0,0,0,0,0,0,0,0
BMBF GB,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMBF Gesamt,162,165,67,18,16,64,9,1,1,7,2,1,0,1,0,0,0,0,0,0,0,0,0
BKM,69,62,39,4,3,16,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BKM GB,53,54,32,7,1,14,4,1,1,2,2,1,0,1,0,0,1,0,0,0,0,0,0
BKM Gesamt,122,116,71,11,4,30,6,1,1,4,2,1,0,1,0,0,1,0,0,0,0,0,0
BMWSB,27,23,8,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMWSB GB,18,18,8,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMWSB Gesamt,45,41,16,4,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMZ,129,124,38,13,9,64,6,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0
BPA,66,64,11,11,17,25,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0
BPrA,50,50,15,1,29,5,1,1,0,0,2,2,0,0,1,1,1,0,0,0,0,0,0
BT,383,379,40,20,138,181,5,0,0,5,4,4,1,0,1,2,1,0,1,0,0,0,1
BR,13,14,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBk,48,52,4,6,37,5,2,0,0,2,2,2,0,0,2,0,2,0,0,0,0,0,0
BVerfG,46,45,15,14,13,3,1,1,0,0,1,3,1,0,2,0,3,0,0,0,0,0,0
BfDI,139,124,56,3,10,55,1,0,0,1,2,1,0,0,1,0,1,2,0,0,0,0,0
BRH,5,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Ressorts Gesamt,4896,4831,1247,527,798,2259,228,93,47,88,138,113,11,14,77,11,81,44,36,3,1,15,17
Ressort GB'e Gesamt,9146,8940,5130,578,722,2510,852,424,235,193,107,87,15,3,50,19,26,31,72,3,8,14,47
Ressorts und GB'e Gesamt,14042,13771,6377,1105,1520,4769,1080,517,282,281,245,200,26,17,127,30,107,75,108,6,9,29,64
