Ressort,Anträge in Bearbeitung zum Jahresbeginn,Eingang Erstanträge,Erstantrag noch in Bearbeitung,Informationszugang gewährt,Informationszugang teilweise gewährt,Informationszugang abgelehnt,sonstige Erledigung,Vorschuss,Gebühr erhoben,Höhe der Gebühr (unter 50 €),Höhe der Gebühr (50 - 100 €),Höhe der Gebühr (> 100 €),Auslagen,Widersprüche in Bearbeitung zum Jahresbeginn,Eingang Widersprüche,Widerspruch in Bearbeitung,Abhilfe,Teilweise Abhilfe,Zurückweisung,sonstige Erledigung.1,W- Gebühren erhoben (0 - 30€),W- Gebühren erhoben (> 30 €),anhängige Klagen zum Jahresbeginn,Eingang Klagen,anhängig,Stattgabe,Teilweise Stattgabe,Abweisung,sonstige Erledigung.2
BMJ Gesamt,6,84,6,45,6,26,7,0,5,4,0,1,9,3,6,3,0,0,6,0,6,0,3,2,5,0,0,0,0
BMF,2,25,1,12,5,4,5,"","","","","",1,1,2,"",1,"",2,"",2,"",1,"","","","","",1
BMF GB,199,223,226,63,29,82,22,"",10,5,3,2,9,26,51,25,5,6,32,9,29,1,24,16,35,1,"",1,3
BMF Gesamt,201,248,227,75,34,86,27,0,10,5,3,2,10,27,53,25,6,6,34,9,31,1,25,16,35,1,0,1,4
BMWi,3,30,7,11,4,4,7,1,5,"",2,3,"",0,4,"","","",2,2,1,1,"","","","","","",""
BMWi GB,"",105,1,65,11,24,4,0,6,"",3,3,3,"","","","","","","","","",1,1,1,"","","",1
BMWi Gesamt,3,135,8,76,15,28,11,1,11,0,5,6,3,0,4,0,0,0,2,2,1,1,1,1,1,0,0,0,1
BMELV,1,1,"",2,"","","","",1,"","",1,"","","","","","","","","","",1,"",1,"","","",""
BMELV GB,3,24,7,15,2,2,1,"",12,2,2,8,10,1,"",1,"","","","","","",5,"",2,"","","",3
BMELV Gesamt,4,25,7,17,2,2,1,0,13,2,2,9,10,1,0,1,0,0,0,0,0,0,6,0,3,0,0,0,3
BMVg,2,22,3,10,3,4,4,2,"","","","","","",1,"","",1,"","","","","","","","","","",""
BMVg GB,5,29,1,21,3,7,2,"","","","","","",1,"","",1,"","","","","",2,"",1,"","","",1
BMVg Gesamt,7,51,4,31,6,11,6,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,0,1,0,0,0,1
BMFSFJ,"",11,1,6,"",3,1,"",2,1,1,"",1,"",3,"",1,"",2,"",2,"","",1,1,"","","",""
BMFSFJ GB,1,27,"",22,1,"",5,"",4,3,"",1,4,"",1,"","","",1,"",1,"","","","","","","",""
BMFSFJ Gesamt,1,38,1,28,1,3,6,0,6,4,1,1,5,0,4,0,1,0,3,0,3,0,0,1,1,0,0,0,0
BMG,"",7,1,3,1,2,"","","","","","",1,1,3,1,"",1,2,"",2,"",2,1,1,1,"","",1
BMG GB,16,242,11,150,30,40,27,"",10,1,4,5,8,2,1,"","","",3,"",1,1,4,"","","","","",4
BMG Gesamt,16,249,12,153,31,42,27,0,10,1,4,5,9,3,4,1,0,1,5,0,3,1,6,1,1,1,0,0,5
BMVBS,9,55,9,23,7,5,20,"","","","","","",8,6,11,"",1,2,"",3,"",1,3,3,"","","",1
BMVBS GB,8,173,9,112,22,13,25,"",26,16,3,7,8,2,17,12,4,1,2,"",2,"",1,"","","","","",1
BMVBS Gesamt,17,228,18,135,29,18,45,0,26,16,3,7,8,10,23,23,4,2,4,0,5,0,2,3,3,0,0,0,2
BMU,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
BMU GB,"",2,1,1,"","","","",1,"","",1,"","","","","","","","","","","","","","","","",""
BMU Gesamt,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMBF,1,8,"",9,"","","","",1,"",1,"",1,1,1,"","",1,1,"","","","",2,2,"","","",""
BMBF GB,"",2,"","",1,"",1,"","","","","","","","","","","","","","","","","","","","","",""
BMBF Gesamt,1,10,0,9,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,2,2,0,0,0,0
BKM,4,10,1,6,4,1,2,"",4,"",1,4,4,1,3,2,1,"","",1,"","","","","","","","",""
BKM GB,"",11,6,1,1,3,"","","",1,"",1,1,"",4,"","","",3,1,"","","",2,2,"","","",""
BKM Gesamt,4,21,7,7,5,4,2,0,4,1,1,5,5,1,7,2,1,0,3,2,0,0,0,2,2,0,0,0,0
BMZ**,"",11,"",11,"","","","",2,2,"","","","","","","","","","","","",3,"","",1,"",1,1
BPA**,"",4,"",1,2,"",1,"","","","","","","","","","","","","","","","","","","","","",""
BPräsA**,"",4,"","",3,1,"","","",1,3,"","","",1,"","","",1,"",1,"","","","","","","",""
