Ressort,Eingang Erstanträge,Erledigungen und Bescheide,Informationszugang gewährt,Informationszugang teilweise gewährt,Informationszugang abgelehnt,sonstige Erledigung,Gebühr erhoben,Höhe der Gebühr (unter 50 ),Höhe der Gebühr (50 - 100 ),Höhe der Gebühr (> 100 ),Eingang Widersprüche,Erledigungen und Widerspruchsbescheide,Abhilfe,Teilweise Abhilfe,Zurückweisung,sonstige Erledigung.1,W- Gebühren erhoben (> 30 ),Eingang Klagen ,Klageerledigungen ,Stattgabe,Teilweise Stattgabe,Abweisung,sonstige Erledigung.2
BMU GB,111,109,88,8,3,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
BMU Gesamt,149,149,118,9,5,17,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
BMBF,174,168,70,17,10,71,6,1,1,4,1,1,0,0,1,0,0,1,0,0,0,0,0
BMBF GB,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMBF Gesamt,177,171,72,17,11,71,6,1,1,4,1,1,0,0,1,0,0,1,0,0,0,0,0
BKM,34,34,14,6,3,11,4,0,1,3,2,1,0,0,1,0,1,0,0,0,0,0,0
BKM GB,19,18,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BKM Gesamt,53,52,28,6,3,15,4,0,1,3,2,1,0,0,1,0,1,0,0,0,0,0,0
BMZ,120,115,50,4,4,57,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
BPA,83,36,17,1,13,5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
BPrA,56,54,14,7,27,6,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0
BT,392,306,55,18,80,153,0,0,0,0,33,11,0,0,5,6,5,4,4,0,0,2,2
BR,28,31,4,1,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBk,49,46,11,4,26,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVerfG,46,46,10,4,28,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
BfDI,221,180,71,13,27,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRH,9,9,3,2,2,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
